# case	raw_double_bits_hex	producer_result	candidate_datetime	schema_valid	semantic_valid
minimum	c124103400000000	0100-01-01T00:00:00	0100-01-01T00:00:00	true	true
epoch	0000000000000000	1899-12-30T00:00:00	1899-12-30T00:00:00	true	true
negative_fraction	bff8000000000000	1899-12-29T12:00:00	1899-12-29T12:00:00	true	true
non_leap_century	404ec00000000000	1900-03-01T12:00:00	1900-03-01T12:00:00	true	true
leap_century	40e1dd2000000000	2000-02-29T00:00:00	2000-02-29T00:00:00	true	true
sub_millisecond	3d0a0fffdbd23e52	1899-12-30T00:00:00	1899-12-30T00:00:00	true	true
fraction_rounds_to_millis	3eb7f911fd22ce99	1899-12-30T00:00:00.123	1899-12-30T00:00:00.123	true	true
maximum	41469240ffffffeb	9999-12-31T23:59:59.999	9999-12-31T23:59:59.999	true	true
zero_fraction	0000000000000000	1899-12-30T00:00:00	1899-12-30T00:00:00.0	false	false
trailing_fraction_zero	3ed845c8a0ce5129	1899-12-30T00:00:00.5	1899-12-30T00:00:00.500	false	false
fraction_over_precision	3d0a0fffdbd23e52	1899-12-30T00:00:00	1899-12-30T00:00:00.0000000010	false	false
utc_suffix	0000000000000000	1899-12-30T00:00:00	1899-12-30T00:00:00Z	false	false
numeric_offset	0000000000000000	1899-12-30T00:00:00	1899-12-30T00:00:00+00:00	false	false
year_below_range	c124103600000000	reject	0099-12-31T00:00:00	false	false
year_zero	-	-	0000-01-01T00:00:00	false	false
month_out_of_range	-	-	2000-13-01T00:00:00	false	false
day_out_of_range	-	-	2000-04-31T00:00:00	true	false
non_leap_day	-	-	1900-02-29T00:00:00	true	false
leap_day_out_of_range	-	-	2000-02-30T00:00:00	true	false
hour_out_of_range	-	-	2000-01-01T24:00:00	false	false
minute_out_of_range	-	-	2000-01-01T00:60:00	false	false
second_out_of_range	-	-	2000-01-01T00:00:60	false	false
