# case	mutation	validation_layers	expected_valid
valid_snapshot	none	schema_and_semantic	true
empty_table_name	table_name	schema_and_semantic	false
empty_column_name	column_name	schema_and_semantic	false
empty_index_name	index_name	schema_and_semantic	false
empty_index_field_reference	index_field	schema_and_semantic	false
empty_relationship_name	relationship_name	schema_and_semantic	false
empty_relationship_table_reference	relationship_table	schema_and_semantic	false
empty_relationship_foreign_table_reference	relationship_foreign_table	schema_and_semantic	false
empty_relationship_field_reference	relationship_field	schema_and_semantic	false
empty_relationship_foreign_field_reference	relationship_foreign_field	schema_and_semantic	false
empty_database_property_name	database_property_name	semantic_only	false
empty_raw_semantic_path	raw_semantic_path	schema_and_semantic	false
empty_raw_purpose	raw_purpose	schema_and_semantic	false
